Plot_ID,Average_Weekly_Soil_Moisture,Average_Weekly_Temperature,Total_Weekly_Rainfall,Yield_Tons_per_Hectare
P01,44.49818362650543,29.75328807472609,165.67250434034884,8.38
P02,70.43087155615478,24.85518442715588,104.13729559972892,8.4
P03,61.026115131247664,25.560492285299723,162.42634719153148,9.2
P04,54.49473374094418,22.48065201259599,121.87924084518279,6.03
P05,38.75863689675724,24.136134777212664,166.8726506503491,5.91
P06,38.25023447286804,25.530173772510626,146.53387855550216,6.37
P07,36.15164846705411,23.7410605098346,117.61093483636014,5.58
P08,67.49255156582126,23.456096443900858,101.27629332244794,7.76
P09,56.907688895810836,24.128701245112143,83.25407855844509,4.87
P10,60.71334122177353,26.642326337150845,154.99746834213187,9.07
P11,23.94381342287547,25.187327305698716,87.87009348889714,4.47
P12,66.45409938205023,26.3391169081345,60.24304439434304,6.42
P13,67.05731241175624,27.107716165148247,131.92953553776152,7.1
P14,43.78429907268427,29.76631057391424,73.82262314205963,4.03
P15,39.31580416292405,24.157161930432324,172.00060148247613,7.39
P16,37.28533407118786,29.111149056910236,171.2988719663935,6.83
P17,41.15352675652066,28.99872277775936,165.38881923389306,5.93
P18,51.36631229361265,23.46456082279598,105.76643807812101,5.12
P19,52.34423894767892,29.96596857718942,77.0810958963473,5.51
P20,44.369707636178774,31.33122621252106,170.9865984322191,8.34
P21,59.21402971997402,22.750712825308444,132.15384568915113,6.61
P22,34.20431476004389,25.17563237558541,149.73725654110106,5.13
P23,45.49950706744662,29.770701475625206,201.58372642671844,7.48
P24,45.65243795060382,30.714968921075144,177.84248675511463,6.82
P25,48.249665893056374,25.042712939733892,84.24992734085134,3.81
P26,68.53514339510387,24.08591899556757,89.220116803961,6.84
P27,41.60712169348527,26.579470379702535,131.4035175392522,6.27
P28,53.210558863662726,26.449054937590674,74.46542087182792,6.59
P29,55.09877885102166,28.880894539402355,66.78529037586611,7.3
P30,32.948554946764055,26.967916332784036,140.36181228428526,6.98
P31,55.31498408505723,26.471481360669227,152.61609286519501,7.38
P32,40.66769761805443,29.266160111544544,132.27334028058706,5.41
P33,32.73863148127406,24.016610843796563,102.7585385570577,7.07
P34,69.69948719237553,26.056385184403176,55.61915880847745,6.65
P35,66.98758109645375,29.253402642102298,118.0664109806628,7.44
P36,63.465056877903805,30.779710572322415,172.3346548633138,7.87
